No,Kategori,Fitur,Deskripsi Singkat,Logika & Aturan Bisnis,Data Source (Supabase)
1,A. Rekrutmen & Onboarding,Pendaftaran Pekerja,Calon karyawan daftar akun,Form {NRP, NIK, Nama, Email, Password(min8), Divisi, Posisi}. Status default PENDING. Validasi NIK unik.,pending_registrations
2,A. Rekrutmen & Onboarding,Approval Pendaftaran,Admin setujui/tolak,"Setujui → buat employees + user_roles (Level L1). Tolak → simpan alasan + kirim notifikasi ke email.",employees, user_roles
3,A. Rekrutmen & Onboarding,Bulk Approve/Reject,Aksi massal untuk banyak pendaftar,"Jika pilih >1, jalankan loop approval. Jika 1 gagal, sisanya tetap jalan (atomic per item).",pending_registrations
4,A. Rekrutmen & Onboarding,Reminder Approver,Kirim pengingat ke atasan,"Cek created_at. Jika > 3 hari belum di-approve, kirim notifikasi ulang. Maks 3x reminder.",notifications
5,A. Rekrutmen & Onboarding,Manajemen Lowongan,Buat/edit/tutup lowongan kerja,"Status OPEN → CLOSED. Jika CLOSED, tidak bisa dipilih di pendaftaran. Field: Posisi, Dept, Kuota, Kualifikasi.",vacancies
6,A. Rekrutmen & Onboarding,Pipeline Pelamar,Tracking status kandidat,"Status flow: APPLIED → SCREENING → INTERVIEW → OFFER → HIRED / REJECTED. Wajib isi catatan saat pindah status.",candidate_pipeline
7,A. Rekrutmen & Onboarding,Penjadwalan Interview,Integrasi kalender untuk interview,"Pilih slot waktu → kirim undangan Google Calendar/Outlook ke kandidat. Konfirmasi otomatis jika kandidat accept.",interviews, calendar_integration
8,A. Rekrutmen & Onboarding,Onboarding Workflow,Checklist tugas karyawan baru,"Wajib checklist: 1) Buat email corp, 2) Akses sistem, 3) Serah terima aset. Status checklist oleh HR/IT.",onboarding_tasks
9,A. Rekrutmen & Onboarding,Pre-employment Screening,Upload dokumen pra-kerja,"Wajib upload KTP, Ijazah, NPWP, KK, BPJS sebelum status HIRED. Jika incomplete, status tetap PENDING_DOCS.",employee_documents
10,B. Data Karyawan & Struktur,Profil Karyawan,Data diri lengkap,"Akses berdasarkan RLS. L1 (Staff) hanya lihat sendiri. L2+ lihat timnya. Admin lihat semua.",employees
11,B. Data Karyawan & Struktur,Update Profil,Edit data diri,"Perubahan NIK/Email butuh approval ulang HR. Log perubahan tersimpan di audit_logs.",employees, audit_logs
12,B. Data Karyawan & Struktur,Manajemen Divisi,CRUD divisi perusahaan,"Jika divisi punya anggota aktif, tidak bisa dihapus (soft delete). Rename diperbolehkan.",divisions
13,B. Data Karyawan & Struktur,Struktur Organisasi,Pohon hierarki atasan-bawahan,"Dibangun dari employees.manager_nrp. Maksimal depth 5 (Staff→Supervisor→Manager→Director→CEO).",employees (self-join)
14,B. Data Karyawan & Struktur,Role Matrix,Atur Level L1-L5,"Level menentukan akses: L1 (Staff), L2 (Supervisor), L3 (Manager), L4 (Director), L5 (CEO). Perubahan level harus approval HRD.",user_roles
15,B. Data Karyawan & Struktur,Subtree View,Lihat seluruh bawahan (L3+),"Rekursif dari NRP yang dipilih. Tampilkan pohon hingga level terbawah.",employees (CTE/Recursive query)
16,B. Data Karyawan & Struktur,Visualisasi Struktur Interaktif,Org chart drag-and-drop,"Drag node untuk pindah atasan. Pindahan otomatis update manager_nrp dan kirim notifikasi ke karyawan.",employees
17,B. Data Karyawan & Struktur,Riwayat Mutasi/Jabatan,Histori promosi, demosi, rotasi,"Catat from_position → to_position, effective_date, reason. Otomatis terekam saat update position di employee.",employee_mutations
18,B. Data Karyawan & Struktur,Status Kerja,PKWTT / PKWT / OUTSOURCING,"PKWT memiliki contract_end_date. Notifikasi H-90, H-60, H-30 sebelum habis.",employees
19,B. Data Karyawan & Struktur,Atasan Langsung,Mapping manager per karyawan,"Validasi tidak boleh membuat siklus (circular reference) saat update. CEO tidak punya atasan.",employees
20,C. Self-Service & Administrasi,Pengajuan Cuti,Form cuti (Tahunan/Sakit/Izin),"Cek kuota (12 hari/tahun, prorata PKWT). Jika cuti > 3 hari, butuh approval 2 level (Atasan + HR).",leave_requests
21,C. Self-Service & Administrasi,Pengajuan Lembur,Form lembur (OT),"Hitung otomatis jam lembur. Rate: Weekday 1.5x, Weekend 2x, Holiday 3x. Wajib upload lampiran tugas.",overtime_requests
22,C. Self-Service & Administrasi,Pengajuan Izin,Izin pribadi/keluarga,"Maks 3 hari/bulan. Jika >3 hari, auto-convert ke cuti tahunan (jika kuota tersedia).",leave_requests
23,C. Self-Service & Administrasi,Pengajuan Sakit,Izin sakit + surat dokter,"Jika tanpa surat dokter, dianggap izin. Surat dokter wajib diupload H+2.",leave_requests
24,C. Self-Service & Administrasi,Pengajuan Training,Ajukan pelatihan dari katalog,"Jika biaya > Rp 2.000.000, butuh approval 2 level. Budget tim akan terblokir otomatis.",training_requests
25,C. Self-Service & Administrasi,Riwayat Request,Histori semua pengajuan,"Filter by status (Pending/Approved/Rejected). Rejected tampilkan alasan dari approver.",leave_requests, training_requests
26,C. Self-Service & Administrasi,Batal Training,Batalkan training yang diajukan,"Hanya bisa dibatalkan jika status masih PENDING. Budget yang terblokir otomatis dikembalikan.",training_requests
27,C. Self-Service & Administrasi,Ganti Password,Ubah password sendiri,"Wajib input password lama. Hash lama dicocokkan (1000x SHA256 + salt). Gagal 5x → lock 15 menit.",worker_passwords
28,C. Self-Service & Administrasi,Multi-step Request Form,Form bertahap dengan upload,"Step 1: Pilih tipe. Step 2: Isi detail. Step 3: Upload dokumen (PDF/JPG). Setiap step auto-save ke draft.",request_drafts
29,C. Self-Service & Administrasi,Dynamic Approval Workflow,Workflow dinamis per tipe,"Config di approval_config menentukan jumlah approver dan level. Contoh: Cuti >3 hari = 2 approver, Lembur = 1 approver.",approval_config, approval_instances
30,C. Self-Service & Administrasi,Pengajuan Perjalanan Dinas,Form tiket, hotel, transportasi,"Hitung uang saku (Per Diem) otomatis berdasarkan kota tujuan (Tier A/B/C) dan durasi. Budget travel auto-check.",travel_requests
31,C. Self-Service & Administrasi,Kalkulasi Per Diem,Uang harian otomatis,"Kota Tier A = Rp 500.000/hari, Tier B = Rp 350.000/hari, Tier C = Rp 200.000/hari. Dihitung dari tgl berangkat-pulang.",travel_requests, city_tiers
32,C. Self-Service & Administrasi,Reimbursement Biaya,Upload bukti pengeluaran,"Kategorisasi (Makan, Taksi, Akomodasi, Lainnya). Maks reimbursement 7 hari setelah pulang. Validasi total ≤ budget approved.",reimbursements
